"﻿""﻿""""﻿""""""""title""""""""""""""","url","finalUrl","fetchedAt","html","screenshot","text"
"TECH GIAN - Wikipedia","https://ja.wikipedia.org/wiki/TECH_GIAN","https://ja.wikipedia.org/wiki/TECH_GIAN","2026-06-30T07:06:16.338902+00:00","ja.wikipedia.org_wiki_TECH_GIAN__wsl20260630.html","ja.wikipedia.org_wiki_TECH_GIAN__wsl20260630.png","ja.wikipedia.org_wiki_TECH_GIAN__wsl20260630.txt"
"To Heart - Wikipedia","https://ja.wikipedia.org/wiki/To_Heart","https://ja.wikipedia.org/wiki/To_Heart","2026-06-29T16:48:20.2175579Z","ja.wikipedia.org_wiki_To_Heart__manual20260630.html","ja.wikipedia.org_wiki_To_Heart__manual20260630.png","ja.wikipedia.org_wiki_To_Heart__manual20260630.txt"
"この世の果てで恋を唄う少女YU-NO - Wikipedia","https://ja.wikipedia.org/wiki/この世の果てで恋を唄う少女YU-NO","https://ja.wikipedia.org/wiki/この世の果てで恋を唄う少女YU-NO","2026-06-29T16:48:20.2532516Z","ja.wikipedia.org_wiki_この世の果てで恋を唄う少女YU-NO__manual20260630.html","ja.wikipedia.org_wiki_この世の果てで恋を唄う少女YU-NO__manual20260630.png","ja.wikipedia.org_wiki_この世の果てで恋を唄う少女YU-NO__manual20260630.txt"
"ニフティサーブ - Wikipedia","https://ja.wikipedia.org/wiki/ニフティサーブ","https://ja.wikipedia.org/wiki/%E3%83%8B%E3%83%95%E3%83%86%E3%82%A3%E3%82%B5%E3%83%BC%E3%83%96","2026-06-30T07:06:17.035070+00:00","ja.wikipedia.org_wiki_ニフティサーブ__wsl20260630.html","ja.wikipedia.org_wiki_ニフティサーブ__wsl20260630.png","ja.wikipedia.org_wiki_ニフティサーブ__wsl20260630.txt"
"パソコン通信 - Wikipedia","https://ja.wikipedia.org/wiki/パソコン通信","https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3%E9%80%9A%E4%BF%A1","2026-06-30T07:06:17.788028+00:00","ja.wikipedia.org_wiki_パソコン通信__wsl20260630.html","ja.wikipedia.org_wiki_パソコン通信__wsl20260630.png","ja.wikipedia.org_wiki_パソコン通信__wsl20260630.txt"
"同級生2 - Wikipedia","https://ja.wikipedia.org/wiki/同級生2","https://ja.wikipedia.org/wiki/%E5%90%8C%E7%B4%9A%E7%94%9F2","2026-06-30T07:06:20.926896+00:00","ja.wikipedia.org_wiki_同級生2__wsl20260630.html","ja.wikipedia.org_wiki_同級生2__wsl20260630.png","ja.wikipedia.org_wiki_同級生2__wsl20260630.txt"
"充実したアニメ視聴環境｜ノ ヴのブログ｜ノヴのページ - みんカラ","https://minkara.carview.co.jp/userid/1329862/blog/24981676/","https://minkara.carview.co.jp/userid/1329862/blog/24981676/","2026-06-30T07:16:09.570966+00:00","minkara.carview.co.jp_userid_1329862_blog_24981676__wsl20260630.html","minkara.carview.co.jp_userid_1329862_blog_24981676__wsl20260630.png","minkara.carview.co.jp_userid_1329862_blog_24981676__wsl20260630.txt"
"インターネットを守る翼竜：名作「YU-NO」リメイク版をサターン版と比較し徹底レビュー！ | ねとらぼ","https://nlab.itmedia.co.jp/cont/articles/3266363/","https://nlab.itmedia.co.jp/cont/articles/3266363/","2026-06-30T07:16:10.395528+00:00","nlab.itmedia.co.jp_cont_articles_3266363__wsl20260630.html","nlab.itmedia.co.jp_cont_articles_3266363__wsl20260630.png","nlab.itmedia.co.jp_cont_articles_3266363__wsl20260630.txt"
"[コラム] 昔やっていたゲームの思い出（1990～2003年くらい）｜大橋ちよ","https://note.com/chiyo_bb/n/n1384603c4f59","https://note.com/chiyo_bb/n/n1384603c4f59","2026-06-30T07:12:24.836742+00:00","note.com_chiyo_bb_n_n1384603c4f59__wsl20260630.html","note.com_chiyo_bb_n_n1384603c4f59__wsl20260630.png","note.com_chiyo_bb_n_n1384603c4f59__wsl20260630.txt"
"地上波でテレ東系列が映らない地域の子ども｜Kenta Suzuki","https://note.com/kenbo_0518/n/n18c794665137","https://note.com/kenbo_0518/n/n18c794665137","2026-06-30T07:12:29.958809+00:00","note.com_kenbo_0518_n_n18c794665137__wsl20260630.html","note.com_kenbo_0518_n_n18c794665137__wsl20260630.png","note.com_kenbo_0518_n_n18c794665137__wsl20260630.txt"
"【アニメ雑記】ひと昔前の地方の放送状況について語るだけ【25/9/25】｜小路あかり/akairomosaic","https://note.com/komichi_akari/n/n40e32a2fbe64","https://note.com/komichi_akari/n/n40e32a2fbe64","2026-06-30T07:12:32.652026+00:00","note.com_komichi_akari_n_n40e32a2fbe64__wsl20260630.html","note.com_komichi_akari_n_n40e32a2fbe64__wsl20260630.png","note.com_komichi_akari_n_n40e32a2fbe64__wsl20260630.txt"
"90年代、地方民は東京を目指したーーなぜなら「深夜アニメ」があったから | アーバンライフ東京","https://urbanlife.tokyo/post/33057/","https://urbanlife.tokyo/post/33057/","2026-06-30T07:16:05.574541+00:00","urbanlife.tokyo_post_33057__wsl20260630.html","urbanlife.tokyo_post_33057__wsl20260630.png","urbanlife.tokyo_post_33057__wsl20260630.txt"
"同級生 (ゲーム) - Wikipedia","https://ja.wikipedia.org/wiki/同級生_(ゲーム)","https://ja.wikipedia.org/wiki/%E5%90%8C%E7%B4%9A%E7%94%9F_(%E3%82%B2%E3%83%BC%E3%83%A0)","2026-06-30T07:06:20.133251+00:00","ja.wikipedia.org_wiki_同級生_ゲーム__wsl20260630.html","ja.wikipedia.org_wiki_同級生_ゲーム__wsl20260630.png","ja.wikipedia.org_wiki_同級生_ゲーム__wsl20260630.txt"
